Crop,Year,Acreage,Yield,Price,Price_inflation_adj
Almond,2007,998284.4,2.4322445,3858.05,4450.524778
Almond,2008,1183982.2,2.577955,3196.67,3629.505584
Almond,2009,881023.6,2.107198,3637.59,4065.085673
Almond,2010,907373.4,2.3874105,3946.234,4340.553182
Almond,2011,1127529,2.846959,4387.154,4749.538574
Almond,2012,1147750.4,2.5891635,5687.868,6060.72168
Almond,2013,1208869.2,2.555538,7076.766,7421.914711
Almond,2014,1143689.8,2.2529085,8818.4,9102.84631
Almond,2015,1828285,2.2417,6900.398,7010.804368
Almond,2016,1478734.3,2.4770785,5268.994,5268.994
Grape,2007,598338.8,17.70943,959.0105657,1106
Grape,2008,400725.9,18.359523,911.6111929,1035
Grape,2009,320014,18.045685,1201.518985,1343
Grape,2010,345200.8,18.068102,997.5914505,1097
Grape,2011,505981.9,17.619762,1085.77633,1175
Grape,2012,613006.2,17.956017,1510.166063,1609
Grape,2013,618391.1,19.839045,1576.304723,1653
Grape,2014,790184.5,17.978434,1675.512712,1730
Grape,2015,875282.7,17.776681,1873.928692,1904
Grape,2016,750808.2,18.000851,1653.466493,1653
Orange,2007,47556.1,22.89618543,228.79059,263.9256074
Orange,2008,155629.7,31.22207104,189.6141191,215.2882543
Orange,2009,130676.5,23.65308412,266.400002,297.7077767
Orange,2010,176256.5,29.70827365,258.0423549,283.8266977
Orange,2011,153997.6,32.83048076,210.2470604,227.6137385
Orange,2012,118803.6,31.03284636,279.4588256,297.7780362
Orange,2013,183996.1,30.18133534,274.7576491,288.1581556
Orange,2014,201280.7,28.19447627,429.3741209,443.2240125
Orange,2015,239508.1,28.0052516,349.9764732,355.5760968
Orange,2016,140554.4,35.29040151,298.2635317,298.2635317
Walnut,2007,297945,3.36255,2524.292179,2911.943829
Walnut,2008,297146.9,4.25923,1410.958074,1602.004651
Walnut,2009,308241.5,4.079894,1884.951801,2106.474496
Walnut,2010,349017.8,4.438566,2248.71443,2473.412518
Walnut,2011,348071.5,3.900558,3196.701886,3460.753581
Walnut,2012,330822.1,4.124728,3340.002315,3558.947648
Walnut,2013,363266.6,3.945392,4089.573791,4289.030877
Walnut,2014,385493.7,4.416149,3681.718723,3800.476242
Walnut,2015,593814.7,4.528234,1840.859362,1870.313111
Walnut,2016,415793.9,4.909323,2039.275341,2039.275341
Pistachio,2007,148745.3,4.057477,3108.486,3585.851393
Pistachio,2008,124985.6,2.645206,4519.43,5131.369964
Pistachio,2009,111676.1,3.160797,3681.682,4114.359439
Pistachio,2010,165015.4,4.2704385,4894.212,5383.255902
Pistachio,2011,217780.9,3.250465,4365.108,4725.671546
Pistachio,2012,199725,3.3961755,5754.006,6131.195188
Pistachio,2013,214431.8,2.600372,7672.008,8046.187911
Pistachio,2014,217402.7,2.6115805,7870.422,8124.290332
Pistachio,2015,276196.7,1.300186,7253.134,7369.184144
Pistachio,2016,295454.9,4.2031875,3703.728,3703.728
Tomato Processed,2007,94570.5,91.506194,77.49246295,89.39286076
Tomato Processed,2008,99834.7,94.980829,86.64164421,98.37309808
Tomato Processed,2009,136021.9,96.908691,94.90897667,106.0628387
Tomato Processed,2010,123853.2,102.087018,78.70500504,86.56943813
Tomato Processed,2011,305588.7,107.063592,81.90170693,88.66689347
Tomato Processed,2012,312236.6,109.820883,82.67332463,88.09276357
Tomato Processed,2013,297076,104.328718,97.88521636,102.6592835
Tomato Processed,2014,322000.2,108.677616,108.6878641,112.1936999
Tomato Processed,2015,425733.6,108.767284,102.5149225,104.1551613
Tomato Processed,2016,302856.8,109.888134,95.12943887,95.12943887
Winter wheat,2007,560018,5.447323386,196.2117176,226.3436479
Winter wheat,2008,538287,5.71632701,257.2063714,292.0326343
Winter wheat,2009,589493,5.245570668,203.1930334,227.0726192
Winter wheat,2010,640081.1,5.38007248,191.0675902,210.1596197
Winter wheat,2011,467963.7,5.918079728,,
Winter wheat,2012,443974.4,5.71632701,,
Winter wheat,2013,453980.1,5.38007248,,
Winter wheat,2014,346972.3,5.38007248,,
Winter wheat,2015,480033.2,4.70756342,216.4207896,219.8835223
Winter wheat,2016,376775,5.245570668,178.2072716,178.2072716
Oats,2007,175450.9,3.547194615,210.3448276,242.6471578
Oats,2008,124315.1,2.866419891,275.862069,313.2143511
Oats,2009,275509.4,3.762176107,224.137931,250.4789963
Oats,2010,144568.4,3.403873621,241.3793103,265.4986333
Oats,2011,110021.2,3.583024864,262.0689655,283.7161998
Oats,2012,131405.9,3.224722377,286.2068966,304.9684597
Oats,2013,97222.1,2.866419891,233.1034483,244.472392
Oats,2014,98482.9,3.583024864,220.6896552,227.8082207
Oats,2015,134594.6,2.149814918,224.137931,227.7241379
Oats,2016,78804.7,2.328966161,262.0689655,262.0689655
Rice,2007,629441.2,9.19097,318.8829149,367.8532715
Rice,2008,519016.2,9.325472,541.3135902,614.6085452
Rice,2009,584068.5,9.63931,385.8089588,431.1498742
Rice,2010,599214.5,8.989217,413.3667416,454.671549
Rice,2011,626782.2,9.3590975,366.1248283,396.3672109
Rice,2012,583100.6,9.1349275,366.1248283,390.1252076
Rice,2013,575203.6,9.504808,411.3983285,431.4630873
Rice,2014,471724.5,9.616893,429.114046,442.9555487
Rice,2015,578556.4,9.9643565,362.1880022,367.9830102
Rice,2016,555020.4,9.908314,281.4830669,281.4830669
Alfalfa,2007,1015401.2,16.14024,181.8813142,209.8125466
Alfalfa,2008,941452.4,15.6919,224.871443,255.3194912
Alfalfa,2009,1121280.1,15.6919,117.9472765,131.8086381
Alfalfa,2010,1055979.4,15.24356,146.6073623,161.2567965
Alfalfa,2011,703365.8,15.46773,263.4523278,285.2138296
Alfalfa,2012,721747.3,15.01939,231.485309,246.659738
Alfalfa,2013,694937.2,15.6919,227.076065,238.1510406
Alfalfa,2014,741797.3,15.46773,268.9638828,277.6395818
Alfalfa,2015,967926,15.46773,199.5182901,202.7105827
Alfalfa,2016,592377,15.6919,170.8582042,170.8582042
Corn,2007,459280,11.42323,168.503937,194.3808263
Corn,2008,363930.4,12.239175,187.7952756,213.2231358
Corn,2009,344575.9,11.2977,168.503937,188.3068021
Corn,2010,352456.7,12.05088,200,219.9845819
Corn,2011,261682.8,11.360465,252.3622047,273.2076481
Corn,2012,255392.2,11.2977,262.992126,280.2319041
Corn,2013,264922.5,11.988115,209.8425197,220.0769792
Corn,2014,172530.2,10.356225,189.3700787,195.4784
Corn,2015,220627,9.854105,172.8346457,175.6
Corn,2016,154798.1,11.611525,184.6456693,184.6456693
Cotton Pima,2007,512645.7,1.65997885,2182.554,2517.725446
Cotton Pima,2008,331257.5,1.43580885,2186.9632,2483.082441
Cotton Pima,2009,279809.7,1.6745499,2579.382,2882.515295
Cotton Pima,2010,385628.7,1.38649145,3968.28,4364.802083
Cotton Pima,2011,478574.2,1.546773,3196.67,3460.719062
Cotton Pima,2012,384293.9,1.8090519,2733.704,2912.904994
Cotton Pima,2013,287224.9,1.7642179,3791.912,3976.851496
Cotton Pima,2014,236845.6,1.7462843,3461.222,3572.867177
Cotton Pima,2015,196159.4,1.6745499,,
Cotton Pima,2016,235702.4,1.75413025,,
